Rank,Name,Sport Rank,Birth Year,Region,Category,2024,2025,Total Points
1,Яковлев Денис,2,1979,Краснодарский край,мужчины,1560,2000,3560
2,Догадов Денис,2,1984,Краснодарский край,мужчины,2000,840,2840
3,Крылов Тимофей,2,2001,Краснодарский край,мужчины,1220,1220,2440
4,Ильин Александр,3,1982,Краснодарский край,мужчины,1120,950,2070
5,Зиповски Алексей,3,1983,Краснодарский край,мужчины,900,1120,2020
