Rank,Name,Sport Rank,Birth Year,Region,Category,2024,2025,Total Points
1,Расшиваев Сергей,,1984,Санкт-Петербург,мужчины,1560,2000,3560
2,Павликов Константин,,1984,Санкт-Петербург,мужчины,2000,1220,3220
3,Забула Дмитрий,,1982,Санкт-Петербург,мужчины,950,900,1850
4,Вахрушев Владимир,,0,Санкт-Петербург,мужчины,1120,630,1750
5,Иванов Никита,,0,Санкт-Петербург,мужчины,0,1560,1560
