Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|round_name|round_place|ФИО|Год рождения|Разряд|Регион
2024|2024.06.24|Чемпионат Дальневосточного федерального округа|Петропавловск-Камчатский|серфинг|длинная доска|женщины|1|final|1|Горанько Эвелина|||Камчатский край
2024|2024.06.24|Чемпионат Дальневосточного федерального округа|Петропавловск-Камчатский|серфинг|длинная доска|женщины|2|final|2|Мавричева Дарья|||Камчатский край
2024|2024.06.24|Чемпионат Дальневосточного федерального округа|Петропавловск-Камчатский|серфинг|длинная доска|женщины|3|final|3|Вяткина Анна|||Сахалинская область
2024|2024.06.24|Чемпионат Дальневосточного федерального округа|Петропавловск-Камчатский|серфинг|длинная доска|женщины|4|final|4|Орлова Людмила|||
2024|2024.06.24|Чемпионат Дальневосточного федерального округа|Петропавловск-Камчатский|серфинг|длинная доска|женщины|5|semifinal|3|Шишкина Дарья|||
2024|2024.06.24|Чемпионат Дальневосточного федерального округа|Петропавловск-Камчатский|серфинг|длинная доска|женщины|5|semifinal|3|Якубовская Нина Павловна|1989|3|Приморский край
2024|2024.06.24|Чемпионат Дальневосточного федерального округа|Петропавловск-Камчатский|серфинг|длинная доска|женщины|7|quarterfinal|3|Петрова Анна Юрьевна|1982|3|Приморский край
2024|2024.06.24|Чемпионат Дальневосточного федерального округа|Петропавловск-Камчатский|серфинг|длинная доска|женщины|7|quarterfinal|4|Клюкина Регина|||
