Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|round_name|round_place|ФИО|Год рождения|Разряд|Регион
2025|2025.07.03|Чемпионат Дальневосточного федерального округа|Яблочное|серфинг|длинная доска|женщины|1|final|1|Вяткина Анна Николаевна|1997||Сахалинская область
2025|2025.07.03|Чемпионат Дальневосточного федерального округа|Яблочное|серфинг|длинная доска|женщины|2|final|2|Филинова Галина Фанильевна|1984||Приморский край
2025|2025.07.03|Чемпионат Дальневосточного федерального округа|Яблочное|серфинг|длинная доска|женщины|3|final|3|Недзельницкая Дарина|||Сахалинская область
2025|2025.07.03|Чемпионат Дальневосточного федерального округа|Яблочное|серфинг|длинная доска|женщины|4|final|4|Грищенко Ева|||Сахалинская область
2025|2025.07.03|Чемпионат Дальневосточного федерального округа|Яблочное|серфинг|длинная доска|женщины|5|semifinal|3|Гутова Оксана|||Сахалинская область
2025|2025.07.03|Чемпионат Дальневосточного федерального округа|Яблочное|серфинг|длинная доска|женщины|5|semifinal|3|Силютина Алина Константиновна|1996||Приморский край
2025|2025.07.03|Чемпионат Дальневосточного федерального округа|Яблочное|серфинг|длинная доска|женщины|5|semifinal|4|Осташко Вероника|||Сахалинская область
2025|2025.07.03|Чемпионат Дальневосточного федерального округа|Яблочное|серфинг|длинная доска|женщины|5|semifinal|4|Пономаренко Дарья|||Сахалинская область
