Rank,Name,Sport Rank,Birth Year,Region,Category,2025,Total Points
1,Контарева Ольга,,1983,Мурманская область,женщины,2000,2000
2,Фефилатьева Анна,,1988,Мурманская область,женщины,1560,1560
3,Бугаева Наталия,3,2002,Мурманская область,женщины,1220,1220
4,Холзакова Лариса,,1999,Мурманская область,женщины,1120,1120
5,Федяева Татьяна,,1982,Мурманская область,женщины,950,950
