Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Позиция|ФИО|Год рождения|Разряд|Регион
2019|29.06.2019|Чемпионат России|Санкт-Петербург|серфинг|вейкским|мужчины|1|Данилов Сергей Михайлович|1978||Московская область
2019|29.06.2019|Чемпионат России|Санкт-Петербург|серфинг|вейкским|мужчины|2|Ревун Илья Александрович|1979||Московская область
2019|29.06.2019|Чемпионат России|Санкт-Петербург|серфинг|вейкским|мужчины|3|Иванов Виталий Викторович|1985||Санкт-Петербург
2019|29.06.2019|Чемпионат России|Санкт-Петербург|серфинг|вейкским|мужчины|4|Шпильман Феликс Михайлович|1985||Московская область
