Rank,Name,Sport Rank,Birth Year,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Чудненко Анна,МС,1987,Санкт-Петербург,женщины,650,800,1000,800,2000,1000,1000,7250
2,Тиманина Анжелика,1,1989,Москва,женщины,600,500,0,650,1045,650,800,4245
3,Тимаревская Анастасия,3,1986,Московская область,женщины,0,0,600,500,1250,600,600,3550
4,Галимова Чулпан,КМС,1987,Республика Татарстан,женщины,0,0,0,600,1203,445,500,2748
5,Тихонова Анна,КМС,1997,Калининградская область,женщины,0,0,0,0,1000,800,650,2450
