Rank,Name,Sport Rank,Birth Year,Region,Category,2024,Total Points
1,Мавричев Сергей,,2009,Камчатский край,мужчины,2000,2000
2,Новиков Илья,,2009,Камчатский край,мужчины,1560,1560
3,Артюхин Марк,3,2007,Камчатский край,мужчины,1220,1220
4,Коцуленко Архип,,2010,Камчатский край,мужчины,1120,1120
5,Морозов Мирон,,2008,Камчатский край,мужчины,950,950
6,Безумов Юрий,,1982,Камчатский край,мужчины,900,900
7,Завгородний Владимир,,1985,Камчатский край,мужчины,840,840
8,Тимохин Сергей,,1990,Камчатский край,мужчины,806,806
