Rank,Name,Sport Rank,Birth Year,Region,Category,2024,2025,Total Points
1,Вахрушев Владимир,1,0,Санкт-Петербург,мужчины,1560,2000,3560
2,Крысенков Глеб,1,0,Санкт-Петербург,мужчины,1220,1560,2780
3,Илясов Дмитрий,,0,Санкт-Петербург,мужчины,2000,0,2000
4,Копров Павел,1,0,Санкт-Петербург,мужчины,1120,840,1960
5,Новожилов Данила,3,0,Санкт-Петербург,мужчины,950,950,1900
